split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,auc_prc,acc,auc_roc,recall,precision,f1,kappa,mcc
1,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,945,4002,4.234920634920635,3988,14,686,259,0.2740740740740741,0.9965017491254373,0.7136777303951803,0.8585001010713563,0.882057119588354,0.2740740740740741,0.9487179487179487,0.4252873563218391,0.3714647273170806,0.4658195990922021
1,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,117,433,3.700854700854701,432,1,88,29,0.24786324786324787,0.9976905311778291,0.7291401520740883,0.8381818181818181,0.8765322437377865,0.24786324786324787,0.9666666666666667,0.39455782312925164,0.33699038331301645,0.4425080769414241
1,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,104,507,4.875,505,2,78,26,0.25,0.9960552268244576,0.7081849411668436,0.8690671031096563,0.8960135032620239,0.25,0.9285714285714286,0.3939393939393939,0.3467685892981237,0.4422215996550289
2,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,933,4014,4.302250803858521,4014,0,820,113,0.12111468381564845,1.0,0.7164905620987634,0.8342429755407318,0.8865901285479387,0.12111468381564845,1.0,0.21606118546845124,0.18275948767291517,0.31712739558449593
2,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,104,446,4.288461538461538,446,0,96,8,0.07692307692307693,1.0,0.7103778577911642,0.8254545454545454,0.8730057778544323,0.07692307692307693,1.0,0.14285714285714288,0.11906033101975433,0.2515915843007178
2,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,129,482,3.7364341085271318,482,0,109,20,0.15503875968992248,1.0,0.7588379435865437,0.8216039279869067,0.8784859596641899,0.15503875968992248,1.0,0.2684563758389262,0.2245019154857416,0.3555903129694862
3,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,925,4022,4.348108108108108,4005,17,661,264,0.28540540540540543,0.995773247140726,0.7133534811592412,0.8629472407519709,0.8830126197803971,0.28540540540540543,0.9395017793594306,0.4378109452736319,0.3841492613608821,0.4736403765452167
3,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,117,433,3.700854700854701,431,2,92,25,0.21367521367521367,0.9953810623556582,0.7203476329305178,0.8290909090909091,0.8858589447503997,0.21367521367521367,0.9259259259259259,0.3472222222222222,0.2906341757910046,0.3959746307307452
3,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,124,487,3.9274193548387095,483,4,94,30,0.24193548387096775,0.9917864476386037,0.6815910345485074,0.839607201309329,0.8751076372789295,0.24193548387096775,0.8823529411764706,0.379746835443038,0.3203868068008989,0.41006001647705914
4,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,941,4006,4.257173219978746,4004,2,738,203,0.2157279489904357,0.9995007488766849,0.7295889019741625,0.8504143925611481,0.8852233074405395,0.2157279489904357,0.9902439024390244,0.3542757417102967,0.30712344883610176,0.4238310372764943
4,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,103,447,4.339805825242719,447,0,80,23,0.22330097087378642,1.0,0.7452803294545899,0.8545454545454545,0.9058013509697878,0.22330097087378642,1.0,0.3650793650793651,0.3184845574796319,0.4352048831133853
4,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,122,489,4.008196721311475,488,1,96,26,0.21311475409836064,0.9979550102249489,0.7374301242302029,0.8412438625204582,0.8898219853163031,0.21311475409836064,0.9629629629629629,0.348993288590604,0.2982084285562041,0.4105556795732801
5,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,946,4001,4.2293868921775895,3991,10,699,247,0.26109936575052856,0.9975006248437891,0.7228576064284581,0.8566808166565595,0.8850506717929396,0.26109936575052856,0.9610894941634242,0.4106400665004156,0.358202209443116,0.4582530515121138
5,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,102,448,4.392156862745098,446,2,74,28,0.27450980392156865,0.9955357142857143,0.7083492441277321,0.8618181818181818,0.874124649859944,0.27450980392156865,0.9333333333333333,0.42424242424242425,0.3712394705174489,0.4621827875916815
5,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,118,493,4.177966101694915,492,1,87,31,0.2627118644067797,0.9979716024340771,0.7783510797342462,0.855973813420622,0.9062725616254684,0.2627118644067797,0.96875,0.41333333333333333,0.36065066945706203,0.46191671749250396
6,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,918,4029,4.388888888888889,4019,10,677,241,0.2625272331154684,0.997517994539588,0.7071440302835428,0.8611279563371741,0.8793964346721562,0.2625272331154684,0.9601593625498008,0.41231822070145424,0.3614323907356478,0.4606466927466877
6,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,118,432,3.6610169491525424,430,2,89,29,0.2457627118644068,0.9953703703703703,0.7404002218286986,0.8345454545454546,0.9040332705586943,0.2457627118644068,0.9354838709677419,0.389261744966443,0.32939410992309126,0.4292152545951385
6,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,130,481,3.7,481,0,97,33,0.25384615384615383,1.0,0.7370147123407442,0.8412438625204582,0.8898608667839436,0.25384615384615383,1.0,0.4049079754601227,0.3488073132409656,0.459614702485119
7,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,942,4005,4.251592356687898,3996,9,694,248,0.2632696390658174,0.9977528089887641,0.7198930192007649,0.8578936729330907,0.8822660633867963,0.2632696390658174,0.9649805447470817,0.4136780650542118,0.3615619948726563,0.461797510187736
7,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,117,433,3.700854700854701,432,1,86,31,0.26495726495726496,0.9976905311778291,0.7096407419884452,0.8418181818181818,0.870748702157478,0.26495726495726496,0.96875,0.4161073825503355,0.357390346754049,0.45916710884221335
7,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,107,504,4.710280373831775,500,4,75,32,0.29906542056074764,0.9920634920634921,0.7101577200714673,0.8707037643207856,0.9049844236760125,0.29906542056074764,0.8888888888888888,0.44755244755244755,0.3941307158367747,0.46990203153076726
8,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,969,3978,4.105263157894737,3968,10,708,261,0.2693498452012384,0.9974861739567622,0.7143922905776896,0.8548615322417626,0.8812776254954364,0.2693498452012384,0.9630996309963099,0.42096774193548386,0.36675092287828914,0.4653897716991275
8,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,86,464,5.395348837209302,460,4,65,21,0.2441860465116279,0.9913793103448276,0.665526245224094,0.8745454545454545,0.8773681836407377,0.2441860465116279,0.84,0.3783783783783784,0.3312775330396476,0.41074282111925503
8,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,111,500,4.504504504504505,498,2,78,33,0.2972972972972973,0.996,0.7204051317008047,0.8690671031096563,0.8965405405405406,0.2972972972972973,0.9428571428571428,0.4520547945205479,0.39977405570018176,0.4866416642614043
9,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,928,4019,4.330818965517241,4009,10,702,226,0.2435344827586207,0.9975118188604131,0.7095813627859472,0.8560743885182939,0.8824414848435449,0.2435344827586207,0.9576271186440678,0.38831615120274915,0.3379566384702194,0.4414900397173124
9,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,112,438,3.9107142857142856,438,0,90,22,0.19642857142857142,1.0,0.6891922013996458,0.8363636363636363,0.8748573059360732,0.19642857142857142,1.0,0.3283582089552239,0.2802303262955854,0.4036662341234755
9,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,126,485,3.8492063492063493,484,1,99,27,0.21428571428571427,0.9979381443298969,0.6812766152380039,0.8363338788870703,0.8689085256095566,0.21428571428571427,0.9642857142857143,0.3506493506493506,0.298007766722581,0.4106171225928673
10,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,955,3992,4.180104712041885,3980,12,708,247,0.25863874345549737,0.996993987975952,0.725100809041362,0.8544572468162522,0.8853201166731368,0.25863874345549737,0.9536679536679536,0.40691927512355847,0.35368160366745005,0.4529703016335726
10,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,92,458,4.978260869565218,457,1,71,21,0.22826086956521738,0.9978165938864629,0.6969016696616254,0.8690909090909091,0.893297892538447,0.22826086956521738,0.9545454545454546,0.3684210526315789,0.3248312078019504,0.43058175427082646
10,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,119,492,4.1344537815126055,490,2,86,33,0.2773109243697479,0.9959349593495935,0.6887261338612354,0.855973813420622,0.8656059984969597,0.2773109243697479,0.9428571428571428,0.42857142857142855,0.37307028590084423,0.46565513499703653
