split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,auc_prc,acc,auc_roc,recall,precision,f1,kappa,mcc
1,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,945,4002,4.234920634920635,3989,13,213,732,0.7746031746031746,0.9967516241879061,0.9640108902973594,0.9543157469173237,0.9867018871516623,0.7746031746031746,0.9825503355704698,0.8662721893491124,0.8391885944093965,0.8478176854919247
1,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,117,433,3.700854700854701,428,5,44,73,0.6239316239316239,0.9884526558891455,0.8592087040926933,0.9109090909090909,0.9300151990683168,0.6239316239316239,0.9358974358974359,0.7487179487179487,0.6971842063866603,0.7183607778236313
1,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,104,507,4.875,497,10,40,64,0.6153846153846154,0.980276134122288,0.8304480479374997,0.9181669394435352,0.9334129874070702,0.6153846153846154,0.8648648648648649,0.7191011235955056,0.6727930938457254,0.6861461490350609
2,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,933,4014,4.302250803858521,4006,8,226,707,0.7577706323687031,0.9980069755854509,0.9613610144127688,0.9526986052152819,0.9835372551909688,0.7577706323687031,0.9888111888111888,0.858009708737864,0.8302260361788121,0.8408096280167642
2,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,104,446,4.288461538461538,440,6,41,63,0.6057692307692307,0.9865470852017937,0.85081712603115,0.9145454545454546,0.9312801828216626,0.6057692307692307,0.9130434782608695,0.7283236994219653,0.6800663382757,0.7002299968005465
2,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,129,482,3.7364341085271318,472,10,52,77,0.5968992248062015,0.979253112033195,0.8339316518957186,0.8985270049099836,0.9122680047605263,0.5968992248062015,0.8850574712643678,0.7129629629629628,0.6541404181502785,0.6728688635732413
3,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,925,4022,4.348108108108108,4012,10,231,694,0.7502702702702703,0.9975136747886624,0.9617288006749984,0.9512836062259955,0.9856807827220558,0.7502702702702703,0.9857954545454546,0.8520564763658687,0.8235375088269951,0.8345362204956459
3,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,117,433,3.700854700854701,426,7,51,66,0.5641025641025641,0.9838337182448037,0.868478144848023,0.8945454545454545,0.944513531118612,0.5641025641025641,0.9041095890410958,0.6947368421052632,0.6350865954380105,0.6609160798955064
3,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,124,487,3.9274193548387095,475,12,48,76,0.6129032258064516,0.9753593429158111,0.8403283968652532,0.9018003273322422,0.9275352719083262,0.6129032258064516,0.8636363636363636,0.7169811320754716,0.6596353102833588,0.6738362296992325
4,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,941,4006,4.257173219978746,3998,8,213,728,0.7736450584484591,0.9980029955067399,0.9569170273365384,0.9553264604810997,0.9827008955217547,0.7736450584484591,0.9891304347826086,0.868217054263566,0.8418040485506587,0.8510165804529473
4,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,103,447,4.339805825242719,439,8,34,69,0.6699029126213593,0.9821029082774049,0.8694417994030735,0.9236363636363636,0.9491757346712713,0.6699029126213593,0.8961038961038961,0.7666666666666666,0.7221487165916909,0.733074164299392
4,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,122,489,4.008196721311475,484,5,49,73,0.5983606557377049,0.9897750511247444,0.8554217806536614,0.911620294599018,0.940963491903852,0.5983606557377049,0.9358974358974359,0.7300000000000001,0.6801915322580645,0.7045324257751749
5,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,946,4001,4.2293868921775895,3992,9,211,735,0.7769556025369979,0.9977505623594102,0.9631704093589624,0.9555286031938549,0.9848721751908748,0.7769556025369979,0.9879032258064516,0.8698224852071005,0.8434669748023165,0.8523161017175025
5,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,102,448,4.392156862745098,438,10,41,61,0.5980392156862745,0.9776785714285714,0.8147505314213116,0.9072727272727272,0.9217765231092437,0.5980392156862745,0.8591549295774648,0.7052023121387284,0.6522698534698634,0.6673471486914695
5,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,118,493,4.177966101694915,486,7,47,71,0.6016949152542372,0.9858012170385395,0.8650455778462488,0.911620294599018,0.9378072678516175,0.6016949152542372,0.9102564102564102,0.7244897959183673,0.6744484350949205,0.6949580169622637
6,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,918,4029,4.388888888888889,4018,11,214,704,0.7668845315904139,0.9972697939935468,0.9591101449391991,0.9545178896300789,0.9823138184978081,0.7668845315904139,0.9846153846153847,0.8622167789344765,0.8354829226373991,0.844841423623728
