split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,auc_prc,acc,auc_roc,recall,precision,f1,kappa,mcc
1,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,945,4002,4.234920634920635,3997,5,58,887,0.9386243386243386,0.9987506246876562,0.9976312645026842,0.9872650090964221,0.9993614303959132,0.9386243386243386,0.9943946188340808,0.9657049537289059,0.957893657440076,0.9584951938541073
1,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,117,433,3.700854700854701,426,7,40,77,0.6581196581196581,0.9838337182448037,0.8710262967351295,0.9145454545454546,0.9375851246520992,0.6581196581196581,0.9166666666666666,0.7661691542288557,0.7156027900631505,0.7303108704920706
1,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,104,507,4.875,488,19,34,70,0.6730769230769231,0.9625246548323472,0.8243013590956112,0.9132569558101473,0.9333560916401152,0.6730769230769231,0.7865168539325843,0.7253886010362695,0.6742513403949262,0.6771351541011668
2,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,933,4014,4.302250803858521,4008,6,38,895,0.9592711682743837,0.9985052316890882,0.9990893131607945,0.991105720638771,0.9997821130865123,0.9592711682743837,0.9933407325194229,0.9760087241003271,0.9705517070074242,0.9707743725275053
2,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,104,446,4.288461538461538,438,8,39,65,0.625,0.9820627802690582,0.8647731587706743,0.9145454545454546,0.9447007588823733,0.625,0.8904109589041096,0.7344632768361581,0.6853929849329407,0.7006434817357424
2,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,129,482,3.7364341085271318,463,19,39,90,0.6976744186046512,0.9605809128630706,0.8665537643277902,0.9050736497545008,0.9384187333140339,0.6976744186046512,0.8256880733944955,0.7563025210084033,0.6978754603737553,0.7016938207084619
3,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,925,4022,4.348108108108108,3996,26,243,682,0.7372972972972973,0.9935355544505221,0.9452299277373747,0.9456236102688498,0.9822492507425377,0.7372972972972973,0.963276836158192,0.835272504592774,0.8033961272342155,0.8136949553366561
3,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,117,433,3.700854700854701,425,8,45,72,0.6153846153846154,0.9815242494226328,0.8688666944512127,0.9036363636363637,0.9467440437417343,0.6153846153846154,0.9,0.7309644670050762,0.674774071181524,0.6928687679267861
3,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,124,487,3.9274193548387095,474,13,42,82,0.6612903225806451,0.973305954825462,0.836634068643125,0.9099836333878887,0.9288269192554812,0.6612903225806451,0.8631578947368421,0.7488584474885845,0.695189979047429,0.7043462227082842
4,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,941,4006,4.257173219978746,3981,25,187,754,0.8012752391073327,0.9937593609585622,0.9666039999665569,0.9571457448958965,0.9891626428582417,0.8012752391073327,0.9679075738125802,0.8767441860465115,0.8510862641673821,0.8566506127425632
