split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,auc_prc,acc,auc_roc,recall,precision,f1,kappa,mcc
1,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,945,4002,4.234920634920635,3981,21,20,925,0.9788359788359788,0.9947526236881559,0.990230312313825,0.9917121487770366,0.9989745867806837,0.9788359788359788,0.9778012684989429,0.9783183500793232,0.9731952730050879,0.9731954809868232
1,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,117,433,3.700854700854701,416,17,29,88,0.7521367521367521,0.9607390300230947,0.8707722627445033,0.9163636363636364,0.9288802037069936,0.7521367521367521,0.8380952380952381,0.7927927927927928,0.7405926381626167,0.7422942307046856
1,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,104,507,4.875,475,32,28,76,0.7307692307692307,0.9368836291913215,0.7730874404600017,0.9018003273322422,0.888237748444849,0.7307692307692307,0.7037037037037037,0.7169811320754716,0.6576007770762506,0.6577721669281572
2,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,933,4014,4.302250803858521,4004,10,17,916,0.9817792068595927,0.9975087194818136,0.9991348715763089,0.9945421467556095,0.9997855843241046,0.9817792068595927,0.9892008639308856,0.9854760623991393,0.9821158223737196,0.9821263795121357
2,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,104,446,4.288461538461538,428,18,22,82,0.7884615384615384,0.9596412556053812,0.8750294064181561,0.9272727272727272,0.9441402207657813,0.7884615384615384,0.82,0.803921568627451,0.7592997811816192,0.759519833024964
2,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,129,482,3.7364341085271318,457,25,34,95,0.7364341085271318,0.9481327800829875,0.8201539791770904,0.9034369885433715,0.9365209559651324,0.7364341085271318,0.7916666666666666,0.7630522088353414,0.7025144620767625,0.7032389136576886
3,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,925,4022,4.348108108108108,4004,18,9,916,0.9902702702702703,0.9955246146195923,0.998878189371071,0.9945421467556095,0.9996669668176381,0.9902702702702703,0.9807280513918629,0.9854760623991393,0.9821158606871755,0.9821333123930056
3,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,117,433,3.700854700854701,415,18,34,83,0.7094017094017094,0.9584295612009238,0.8578463080236193,0.9054545454545454,0.918833027378062,0.7094017094017094,0.8217821782178217,0.761467889908257,0.7029065298236137,0.7058619511938408
3,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,124,487,3.9274193548387095,461,26,31,93,0.75,0.946611909650924,0.8213622834015127,0.9067103109656302,0.9081108829568788,0.75,0.7815126050420168,0.7654320987654322,0.7072401879607602,0.7074735149778534
4,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,941,4006,4.257173219978746,3991,15,6,935,0.9936238044633369,0.9962556165751373,0.9995457067359508,0.9957550030321407,0.9998904406408453,0.9936238044633369,0.9842105263157894,0.9888947646747751,0.9862708221634896,0.9862878952860071
4,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,103,447,4.339805825242719,415,32,12,91,0.883495145631068,0.9284116331096197,0.8900664918402735,0.92,0.9561043417823244,0.883495145631068,0.7398373983739838,0.8053097345132745,0.7554616923667671,0.7601723137393015
4,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,122,489,4.008196721311475,461,28,28,94,0.7704918032786885,0.9427402862985685,0.8514016395266601,0.9083469721767594,0.9336551677897348,0.7704918032786885,0.7704918032786885,0.7704918032786885,0.713232089577257,0.713232089577257
5,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,946,4001,4.2293868921775895,3999,2,14,932,0.985200845665962,0.9995001249687578,0.999769018753953,0.9967657165959167,0.9999461022693586,0.985200845665962,0.9978586723768736,0.9914893617021278,0.9894929560114437,0.9895236806347096
5,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,102,448,4.392156862745098,431,17,30,72,0.7058823529411765,0.9620535714285714,0.8271469155930891,0.9145454545454546,0.9273021708683473,0.7058823529411765,0.8089887640449438,0.7539267015706808,0.7025111054848436,0.7049014908926416
5,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,118,493,4.177966101694915,478,15,34,84,0.711864406779661,0.9695740365111561,0.8600546933898784,0.9198036006546645,0.9180217966789288,0.711864406779661,0.8484848484848485,0.7741935483870968,0.7258910668998289,0.7300263164315237
6,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,918,4029,4.388888888888889,4016,13,8,910,0.9912854030501089,0.9967733929014644,0.9992787453628891,0.9957550030321407,0.9998337218564103,0.9912854030501089,0.9859154929577465,0.9885931558935362,0.9859854556962896,0.9859909448263424
6,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,118,432,3.6610169491525424,409,23,38,80,0.6779661016949152,0.9467592592592593,0.8134721977865454,0.889090909090909,0.8915960451977399,0.6779661016949152,0.7766990291262136,0.7239819004524887,0.6549844717303224,0.6573544992339345
6,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,130,481,3.7,463,18,47,83,0.6384615384615384,0.9625779625779626,0.8062072670532766,0.8936170212765957,0.8826483288021749,0.6384615384615384,0.8217821782178217,0.7186147186147186,0.6542944438157746,0.662218721841594
7,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,942,4005,4.251592356687898,3994,11,8,934,0.9915074309978769,0.9972534332084894,0.9989559304425272,0.9961592884576511,0.9991703576474207,0.9915074309978769,0.9883597883597883,0.9899311075781665,0.9875581912975244,0.9875600969175312
7,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,117,433,3.700854700854701,410,23,31,86,0.7350427350427351,0.9468822170900693,0.8234205377940181,0.9018181818181819,0.8985018061230532,0.7350427350427351,0.7889908256880734,0.7610619469026549,0.6993744559386197,0.700069113324048
7,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,107,504,4.710280373831775,470,34,29,78,0.7289719626168224,0.9325396825396826,0.7668338587503941,0.8968903436988543,0.9107513721999704,0.7289719626168224,0.6964285714285714,0.7123287671232876,0.649557087062208,0.6498084682978017
8,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,969,3978,4.105263157894737,3961,17,43,926,0.95562435500516,0.9957264957264957,0.9948278052875941,0.9878714372346877,0.9983407191565997,0.95562435500516,0.9819724284199364,0.9686192468619247,0.961104056673127,0.9612406048080842
8,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,86,464,5.395348837209302,448,16,26,60,0.6976744186046512,0.9655172413793104,0.8103368015334159,0.9236363636363636,0.9190807939053728,0.6976744186046512,0.7894736842105263,0.7407407407407408,0.6961645709475457,0.6979933821625653
8,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,111,500,4.504504504504505,476,24,31,80,0.7207207207207207,0.952,0.8065249516899394,0.9099836333878887,0.9324504504504504,0.7207207207207207,0.7692307692307693,0.7441860465116278,0.6896386120782807,0.6901772615384053
9,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,928,4019,4.330818965517241,3966,53,17,911,0.9816810344827587,0.9868126399601891,0.9917802627729599,0.9858500101071357,0.9983371013547717,0.9816810344827587,0.9450207468879668,0.9630021141649049,0.9542582167190187,0.954522367145277
9,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,112,438,3.9107142857142856,408,30,25,87,0.7767857142857143,0.9315068493150684,0.8315389117332649,0.9,0.9230471298108285,0.7767857142857143,0.7435897435897436,0.759825327510917,0.6967175312305749,0.6969824932802405
9,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,126,485,3.8492063492063493,452,33,31,95,0.753968253968254,0.931958762886598,0.7885169771517623,0.8952536824877251,0.9070692194403536,0.753968253968254,0.7421875,0.7480314960629921,0.6819209682929607,0.681954658707703
10,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,955,3992,4.180104712041885,3974,18,3,952,0.9968586387434555,0.9954909819639278,0.9995700636968068,0.9957550030321407,0.9998840613163499,0.9968586387434555,0.9814432989690721,0.989090909090909,0.9864558963009801,0.9865020623419968
10,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,92,458,4.978260869565218,431,27,23,69,0.75,0.9410480349344978,0.8329805625197615,0.9090909090909091,0.9392206189481678,0.75,0.71875,0.7340425531914894,0.679247923859289,0.6794716577545997
