split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,auc_prc,acc,auc_roc,recall,precision,f1,kappa,mcc
1,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,945,4002,4.234920634920635,3993,9,204,741,0.7841269841269841,0.9977511244377811,0.9750932176761051,0.9569436021831413,0.9900020889026385,0.7841269841269841,0.988,0.8743362831858407,0.8487712885163107,0.8570247888988244
1,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,117,433,3.700854700854701,429,4,52,65,0.5555555555555556,0.9907621247113164,0.8590839866035772,0.8981818181818182,0.9245080041846787,0.5555555555555556,0.9420289855072463,0.6989247311827957,0.6425006383917171,0.6749709025334438
1,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,104,507,4.875,501,6,49,55,0.5288461538461539,0.9881656804733728,0.8102719180626629,0.9099836333878887,0.9304544075254134,0.5288461538461539,0.9016393442622951,0.6666666666666666,0.6186753208437823,0.6481490237140061
2,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,933,4014,4.302250803858521,4008,6,198,735,0.7877813504823151,0.9985052316890882,0.9761082903394399,0.9587628865979382,0.989935814146735,0.7877813504823151,0.9919028340080972,0.8781362007168458,0.8537105940185882,0.8619193533245236
2,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,104,446,4.288461538461538,440,6,41,63,0.6057692307692307,0.9865470852017937,0.8485229339183147,0.9145454545454546,0.9286823042428423,0.6057692307692307,0.9130434782608695,0.7283236994219653,0.6800663382757,0.7002299968005465
2,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,129,482,3.7364341085271318,473,9,54,75,0.5813953488372093,0.9813278008298755,0.8358550337349984,0.8968903436988543,0.9129997748399756,0.5813953488372093,0.8928571428571429,0.7042253521126761,0.6451309566612274,0.6669114986585909
3,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,925,4022,4.348108108108108,4016,6,227,698,0.7545945945945945,0.9985082048731975,0.9759104939826208,0.9529007479280371,0.9897572809009905,0.7545945945945945,0.9914772727272727,0.8569674647022711,0.8293951848825305,0.8404721284341165
3,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,117,433,3.700854700854701,426,7,53,64,0.5470085470085471,0.9838337182448037,0.8572874149309285,0.8909090909090909,0.9409210240619016,0.5470085470085471,0.9014084507042254,0.6808510638297873,0.6197543382573225,0.6478962134098558
3,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,124,487,3.9274193548387095,477,10,51,73,0.5887096774193549,0.9794661190965093,0.8443685920799721,0.900163666121113,0.9300854474398887,0.5887096774193549,0.8795180722891566,0.7053140096618357,0.6480315034988149,0.6669634656891412
4,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,941,4006,4.257173219978746,3998,8,203,738,0.7842720510095643,0.9980029955067399,0.9710500923492461,0.9573478876086517,0.9879040366124564,0.7842720510095643,0.9892761394101877,0.8749259039715472,0.8496291281988044,0.8579540067052596
4,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,103,447,4.339805825242719,441,6,35,68,0.6601941747572816,0.9865771812080537,0.8760498265190722,0.9254545454545454,0.9538454855454921,0.6601941747572816,0.918918918918919,0.7683615819209041,0.7253550288651256,0.7394414904919773
4,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,122,489,4.008196721311475,483,6,50,72,0.5901639344262295,0.9877300613496932,0.8568729947931572,0.9083469721767594,0.9375104763820444,0.5901639344262295,0.9230769230769231,0.7200000000000001,0.6683467741935484,0.6922637988720874
5,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,946,4001,4.2293868921775895,3994,7,182,764,0.8076109936575053,0.9982504373906523,0.9761724331800792,0.9617950272892662,0.9902130704110441,0.8076109936575053,0.9909208819714657,0.8899242865463017,0.8671005663324505,0.873741131302116
5,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,102,448,4.392156862745098,442,6,43,59,0.5784313725490197,0.9866071428571429,0.8273282727079075,0.9109090909090909,0.9192598914565827,0.5784313725490197,0.9076923076923077,0.7065868263473054,0.6570810535691565,0.680282967382641
5,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,118,493,4.177966101694915,489,4,50,68,0.576271186440678,0.9918864097363083,0.8617410269889237,0.911620294599018,0.9341114587272664,0.576271186440678,0.9444444444444444,0.7157894736842105,0.6670568528123675,0.6956209449053232
6,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,918,4029,4.388888888888889,4023,6,196,722,0.7864923747276689,0.9985107967237528,0.9743989562452627,0.9591671720234486,0.9897056255005241,0.7864923747276689,0.9917582417582418,0.8772782503037667,0.8531778740240082,0.8614318663295907
6,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,118,432,3.6610169491525424,429,3,57,61,0.5169491525423728,0.9930555555555556,0.8602298008851859,0.8909090909090909,0.9417372881355933,0.5169491525423728,0.953125,0.6703296703296703,0.6117464351263588,0.652903415833229
6,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,130,481,3.7,480,1,59,71,0.5461538461538461,0.997920997920998,0.8511231495671309,0.9018003273322422,0.9336798336798336,0.5461538461538461,0.9861111111111112,0.702970297029703,0.6498634219021604,0.6906248957325559
7,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,942,4005,4.251592356687898,4002,3,198,744,0.7898089171974523,0.9992509363295881,0.9759032447057029,0.9593693147362038,0.9883928263767954,0.7898089171974523,0.9959839357429718,0.8809946714031972,0.8568900863325194,0.8652701326757126
7,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,117,433,3.700854700854701,427,6,47,70,0.5982905982905983,0.9861431870669746,0.8349358353533257,0.9036363636363637,0.9184579854325813,0.5982905982905983,0.9210526315789473,0.7253886010362693,0.6701219926215966,0.6930686044824806
7,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,107,504,4.710280373831775,495,9,44,63,0.5887850467289719,0.9821428571428571,0.8402723601109431,0.9132569558101473,0.9484868713840676,0.5887850467289719,0.875,0.7039106145251396,0.6553570098232245,0.6730197295682417
8,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,969,3978,4.105263157894737,3969,9,181,788,0.8132094943240454,0.997737556561086,0.9767249942395752,0.961592884576511,0.9904591351504481,0.8132094943240454,0.9887076537013801,0.8924122310305774,0.8693056107108413,0.8754544762592883
8,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,86,464,5.395348837209302,457,7,35,51,0.5930232558139535,0.9849137931034483,0.8180479309005056,0.9236363636363636,0.9276012429831596,0.5930232558139535,0.8793103448275862,0.7083333333333334,0.6663007049578181,0.6834271122956397
8,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,111,500,4.504504504504505,496,4,40,71,0.6396396396396397,0.992,0.8579039491458249,0.9279869067103109,0.9347567567567567,0.6396396396396397,0.9466666666666667,0.7634408602150538,0.7228339312961359,0.7421690546310326
9,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,928,4019,4.330818965517241,4009,10,194,734,0.790948275862069,0.9975118188604131,0.9724401223080421,0.9587628865979382,0.9889125790426508,0.790948275862069,0.9865591397849462,0.8779904306220097,0.8535396457741942,0.8610860356684253
9,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,112,438,3.9107142857142856,431,7,49,63,0.5625,0.9840182648401826,0.8308928961026979,0.8981818181818182,0.9171355185909981,0.5625,0.9,0.6923076923076923,0.6351575456053068,0.6603605319473062
