split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,auc_prc,acc,auc_roc,recall,precision,f1,kappa,mcc
1,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,945,4002,4.234920634920635,4001,1,0,945,1.0,0.9997501249375312,1.0,0.9997978572872448,1.0,1.0,0.9989429175475687,0.9994711792702274,0.9993462261708558,0.999346439741316
1,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,117,433,3.700854700854701,427,6,37,80,0.6837606837606838,0.9861431870669746,0.8824751702854852,0.9218181818181819,0.9396873334517676,0.6837606837606838,0.9302325581395349,0.7881773399014778,0.7416034787929113,0.7548160920399437
1,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,104,507,4.875,497,10,39,65,0.625,0.980276134122288,0.7791940318368363,0.9198036006546645,0.9219959035047792,0.625,0.8666666666666667,0.7262569832402236,0.6807153750173298,0.6932041801202153
2,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,933,4014,4.302250803858521,4014,0,0,933,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,104,446,4.288461538461538,438,8,29,75,0.7211538461538461,0.9820627802690582,0.8930640070886624,0.9327272727272727,0.9551353915143154,0.7211538461538461,0.9036144578313253,0.8021390374331551,0.7622274671091067,0.7692645917980855
2,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,129,482,3.7364341085271318,468,14,41,88,0.6821705426356589,0.970954356846473,0.85301772588408,0.9099836333878887,0.9343980185917848,0.6821705426356589,0.8627450980392157,0.761904761904762,0.7073372523405181,0.7147524261061496
3,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,925,4022,4.348108108108108,4022,0,0,925,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,117,433,3.700854700854701,425,8,41,76,0.6495726495726496,0.9815242494226328,0.8646361141398609,0.9109090909090909,0.9531394958646691,0.6495726495726496,0.9047619047619048,0.7562189054726368,0.7035007811296675,0.7179601239583199
3,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,124,487,3.9274193548387095,476,11,36,88,0.7096774193548387,0.9774127310061602,0.8540444179738055,0.9230769230769231,0.928843478836855,0.7096774193548387,0.8888888888888888,0.7892376681614349,0.7429118808247017,0.7499571815268057
4,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,941,4006,4.257173219978746,4005,1,0,941,1.0,0.9997503744383425,1.0,0.9997978572872448,1.0,1.0,0.9989384288747346,0.9994689325544344,0.9993441042369117,0.999344319195524
