split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,auc_prc,acc,auc_roc,recall,precision,f1,kappa,mcc
1,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,945,4002,4.234920634920635,4002,0,22,923,0.9767195767195768,1.0,0.9996587377125752,0.9955528603193855,0.9999098334430667,0.9767195767195768,1.0,0.9882226980728053,0.9854820752972777,0.9855859468136693
1,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,117,433,3.700854700854701,427,6,37,80,0.6837606837606838,0.9861431870669746,0.8782302010697123,0.9218181818181819,0.9419869327490574,0.6837606837606838,0.9302325581395349,0.7881773399014778,0.7416034787929113,0.7548160920399437
1,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,104,507,4.875,490,17,39,65,0.625,0.9664694280078896,0.8062394443643547,0.9083469721767594,0.9222993475952056,0.625,0.7926829268292683,0.6989247311827957,0.6457604306864064,0.6521059888856372
2,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,933,4014,4.302250803858521,4014,0,0,933,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,104,446,4.288461538461538,435,11,36,68,0.6538461538461539,0.9753363228699552,0.8827673214342376,0.9145454545454546,0.9536046912728527,0.6538461538461539,0.8607594936708861,0.7431693989071038,0.6930584910589186,0.7024844551296544
2,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,129,482,3.7364341085271318,462,20,44,85,0.6589147286821705,0.9585062240663901,0.8538759097739331,0.8952536824877251,0.9349609186528998,0.6589147286821705,0.8095238095238095,0.7264957264957264,0.6625591108349729,0.667928277024532
3,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,925,4022,4.348108108108108,4022,0,1,924,0.9989189189189189,1.0,0.9999999999999999,0.9997978572872448,1.0,0.9989189189189189,1.0,0.9994591671173607,0.9993348663541197,0.9993350874084481
3,1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,117,433,3.700854700854701,424,9,45,72,0.6153846153846154,0.9792147806004619,0.8797001313293014,0.9018181818181819,0.9506523755946389,0.6153846153846154,0.8888888888888888,0.7272727272727274,0.6698018811286772,0.686645237133277
3,1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,124,487,3.9274193548387095,476,11,43,81,0.6532258064516129,0.9774127310061602,0.8483296067746875,0.911620294599018,0.9358481817579651,0.6532258064516129,0.8804347826086957,0.75,0.6977464272627336,0.7092155299803029
4,1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,941,4006,4.257173219978746,4006,0,0,941,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
