split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,auc_prc,acc,auc_roc,recall,precision,f1,kappa,mcc
1,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,tr,1808,6108,945,4002,4.234920635,4000,2,46,899,0.951322751,0.99950025,0.998772767,0.99029715,0.999659694,0.951322751,0.997780244,0.973997833,0.968037784,0.96845354
1,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,va,1808,6108,117,433,3.700854701,426,7,40,77,0.658119658,0.983833718,0.87318411,0.914545455,0.939085292,0.658119658,0.916666667,0.766169154,0.71560279,0.73031087
1,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,te,1808,6108,104,507,4.875,491,16,37,67,0.644230769,0.968441815,0.835161401,0.913256956,0.931971628,0.644230769,0.807228916,0.71657754,0.666130546,0.672036852
2,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,tr,1808,6108,933,4014,4.302250804,4009,5,67,866,0.928188639,0.99875436,0.996061414,0.985445725,0.998948215,0.928188639,0.994259472,0.960088692,0.951201668,0.952042573
2,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,va,1808,6108,104,446,4.288461538,441,5,39,65,0.625,0.988789238,0.87050048,0.92,0.945714039,0.625,0.928571429,0.747126437,0.701750062,0.721163486
2,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,te,1808,6108,129,482,3.736434109,466,16,42,87,0.674418605,0.966804979,0.847178948,0.90507365,0.93153527,0.674418605,0.844660194,0.75,0.692319714,0.69900035
3,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,tr,1808,6108,925,4022,4.348108108,4022,0,39,886,0.957837838,1,0.999209734,0.992116434,0.999767495,0.957837838,1,0.978464936,0.973642734,0.973981108
3,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,va,1808,6108,117,433,3.700854701,427,6,43,74,0.632478632,0.986143187,0.88950183,0.910909091,0.954383056,0.632478632,0.925,0.751269036,0.699319424,0.718072328
3,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,te,1808,6108,124,487,3.927419355,479,8,39,85,0.685483871,0.983572895,0.866007039,0.923076923,0.939441611,0.685483871,0.913978495,0.783410138,0.737799366,0.749086441
4,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,tr,1808,6108,941,4006,4.25717322,4000,6,90,851,0.904357067,0.998502247,0.994513354,0.9805943,0.99852453,0.904357067,0.992998833,0.946607341,0.934781247,0.936307068
