split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,auc_prc,acc,auc_roc,recall,precision,f1,kappa,mcc
1,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,tr,1808,6108,945,4002,4.234920635,4001,1,0,945,1,0.999750125,1,0.999797857,1,1,0.998942918,0.999471179,0.999346226,0.99934644
1,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,va,1808,6108,117,433,3.700854701,428,5,40,77,0.658119658,0.988452656,0.866715723,0.918181818,0.931762105,0.658119658,0.93902439,0.773869347,0.725798232,0.742889347
1,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,te,1808,6108,104,507,4.875,497,10,39,65,0.625,0.980276134,0.774326306,0.919803601,0.920061447,0.625,0.866666667,0.726256983,0.680715375,0.69320418
2,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,tr,1808,6108,933,4014,4.302250804,4014,0,0,933,1,1,1,1,1,1,1,1,1,1
2,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,va,1808,6108,104,446,4.288461538,438,8,38,66,0.634615385,0.98206278,0.872380272,0.916363636,0.9462099,0.634615385,0.891891892,0.741573034,0.693363068,0.707657859
2,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,te,1808,6108,129,482,3.736434109,468,14,44,85,0.658914729,0.970954357,0.832672664,0.90507365,0.926034932,0.658914729,0.858585859,0.745614035,0.688500958,0.697615449
3,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,tr,1808,6108,925,4022,4.348108108,4022,0,0,925,1,1,1,1,1,1,1,1,1,1
3,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,va,1808,6108,117,433,3.700854701,426,7,48,69,0.58974359,0.983833718,0.85282914,0.9,0.944020055,0.58974359,0.907894737,0.715025907,0.657673766,0.68019412
3,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,te,1808,6108,124,487,3.927419355,476,11,46,78,0.629032258,0.977412731,0.8387939,0.906710311,0.92366033,0.629032258,0.876404494,0.732394366,0.677739634,0.691411311
4,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,tr,1808,6108,941,4006,4.25717322,4006,0,0,941,1,1,1,1,1,1,1,1,1,1
4,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,va,1808,6108,103,447,4.339805825,431,16,30,73,0.708737864,0.964205817,0.859665148,0.916363636,0.953041854,0.708737864,0.820224719,0.760416667,0.710081819,0.712862267
