split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,auc_prc,acc,auc_roc,recall,precision,f1,kappa,mcc
1,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,tr,1808,6108,945,4002,4.234920635,4002,0,0,945,1,1,1,1,1,1,1,1,1,1
1,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,va,1808,6108,117,433,3.700854701,425,8,41,76,0.64957265,0.981524249,0.881042462,0.910909091,0.944434575,0.64957265,0.904761905,0.756218905,0.703500781,0.717960124
1,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,te,1808,6108,104,507,4.875,493,14,35,69,0.663461538,0.972386588,0.833987874,0.919803601,0.929088909,0.663461538,0.831325301,0.737967914,0.69132824,0.697457964
2,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,tr,1808,6108,933,4014,4.302250804,4014,0,0,933,1,1,1,1,1,1,1,1,1,1
2,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,va,1808,6108,104,446,4.288461538,439,7,36,68,0.653846154,0.984304933,0.8697058,0.921818182,0.945455329,0.653846154,0.906666667,0.759776536,0.714544357,0.728165629
2,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,te,1808,6108,129,482,3.736434109,468,14,42,87,0.674418605,0.970954357,0.863104305,0.908346972,0.937807585,0.674418605,0.861386139,0.756521739,0.701097212,0.709060619
3,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,tr,1808,6108,925,4022,4.348108108,4022,0,7,918,0.992432432,1,0.999996503,0.998585001,0.999999194,0.992432432,1,0.996201845,0.995332403,0.995343246
3,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,va,1808,6108,117,433,3.700854701,424,9,38,79,0.675213675,0.979214781,0.886112945,0.914545455,0.952567063,0.675213675,0.897727273,0.770731707,0.719503461,0.730527771
3,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,te,1808,6108,124,487,3.927419355,478,9,40,84,0.677419355,0.981519507,0.859104172,0.919803601,0.935616348,0.677419355,0.903225806,0.774193548,0.726641893,0.737758277
4,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,tr,1808,6108,941,4006,4.25717322,4006,0,0,941,1,1,1,1,1,1,1,1,1,1
4,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,va,1808,6108,103,447,4.339805825,433,14,29,74,0.718446602,0.968680089,0.890677524,0.921818182,0.957429248,0.718446602,0.840909091,0.77486911,0.727916983,0.731217992
4,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,te,1808,6108,122,489,4.008196721,481,8,39,83,0.680327869,0.983640082,0.871998226,0.923076923,0.948858493,0.680327869,0.912087912,0.779342723,0.733951584,0.745519648
5,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,tr,1808,6108,946,4001,4.229386892,4001,0,14,932,0.985200846,1,0.999832669,0.997170002,0.999957727,0.985200846,1,0.992545261,0.990798874,0.990840817
5,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,va,1808,6108,102,448,4.392156863,442,6,39,63,0.617647059,0.986607143,0.855518337,0.918181818,0.941657913,0.617647059,0.913043478,0.736842105,0.69052442,0.709025228
5,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,te,1808,6108,118,493,4.177966102,486,7,41,77,0.652542373,0.985801217,0.86876113,0.921440262,0.943308007,0.652542373,0.916666667,0.762376238,0.716905732,0.731769012
6,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,tr,1808,6108,918,4029,4.388888889,4029,0,68,850,0.925925926,1,0.996659145,0.986254296,0.999013416,0.925925926,1,0.961538462,0.953185328,0.954231555
6,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,va,1808,6108,118,432,3.661016949,423,9,48,70,0.593220339,0.979166667,0.862952065,0.896363636,0.944993723,0.593220339,0.886075949,0.710659898,0.650525048,0.669959645
6,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,te,1808,6108,130,481,3.7,468,13,51,79,0.607692308,0.972972973,0.840900678,0.895253682,0.93427155,0.607692308,0.858695652,0.711711712,0.649988364,0.664496168
7,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,tr,1808,6108,942,4005,4.251592357,4002,3,79,863,0.916135881,0.999250936,0.994340844,0.983424298,0.998194666,0.916135881,0.996535797,0.954646018,0.94452695,0.945777814
7,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,va,1808,6108,117,433,3.700854701,417,16,41,76,0.64957265,0.963048499,0.84263461,0.896363636,0.922445273,0.64957265,0.826086957,0.727272727,0.664425938,0.671741549
7,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,te,1808,6108,107,504,4.710280374,488,16,35,72,0.672897196,0.968253968,0.827216158,0.916530278,0.943072244,0.672897196,0.818181818,0.738461538,0.689362296,0.694025475
8,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,tr,1808,6108,969,3978,4.105263158,3978,0,0,969,1,1,1,1,1,1,1,1,1,1
8,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,va,1808,6108,86,464,5.395348837,451,13,26,60,0.697674419,0.971982759,0.843506292,0.929090909,0.937650361,0.697674419,0.821917808,0.754716981,0.713595215,0.716869535
8,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,te,1808,6108,111,500,4.504504505,486,14,33,78,0.702702703,0.972,0.847388395,0.923076923,0.924054054,0.702702703,0.847826087,0.768472906,0.722832959,0.727413487
9,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,tr,1808,6108,928,4019,4.330818966,4019,0,0,928,1,1,1,1,1,1,1,1,1,1
9,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,va,1808,6108,112,438,3.910714286,425,13,43,69,0.616071429,0.970319635,0.858786858,0.898181818,0.941006197,0.616071429,0.841463415,0.711340206,0.651315492,0.662984777
9,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,te,1808,6108,126,485,3.849206349,473,12,45,81,0.642857143,0.975257732,0.871768783,0.906710311,0.946702667,0.642857143,0.870967742,0.739726027,0.684460874,0.696175896
10,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,tr,1808,6108,955,3992,4.180104712,3992,0,1,954,0.99895288,1,1,0.999797857,1,0.99895288,1,0.999476166,0.999350931,0.999351141
10,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,va,1808,6108,92,458,4.97826087,446,12,33,59,0.641304348,0.973799127,0.814250462,0.918181818,0.936443896,0.641304348,0.830985915,0.72392638,0.676833886,0.684664644
10,1-AR-AlvaSlim-DMPNN-6108-Normalize-group.csv,activity,te,1808,6108,119,492,4.134453782,478,14,42,77,0.647058824,0.971544715,0.842994412,0.908346972,0.930006149,0.647058824,0.846153846,0.733333333,0.679180887,0.688091296
